node_id,text
151,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
152,Wisely and slow; they stumble that run fast.
153,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
154,In my mind's eye.
155,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
156,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
157,A horse! a horse! my kingdom for a horse!.
158,The king's name is a tower of strength.
159,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
160,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
161,That it should come to this!.
162,"It is the east, and Juliet is the sun."
163,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
164,Do you think I am easier to be played on than a pipe?
165,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
166,True is it that we have seen better days.
167,Not stepping o'er the bounds of modesty.
168,"I will speak daggers to her, but use none."
169,Now is the winter of our discontent.
170,"The world is grown so bad, that wrens make prey where eagles dare not perch."
171,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
172,"The world is grown so bad, that wrens make prey where eagles dare not perch."
173,This above all: to thine own self be true.
174,A horse! a horse! my kingdom for a horse!.
175,For you and I are past our dancing days.
176,"An honest tale speeds best, being plainly told."
177,Tempt not a desperate man.
178,Tempt not a desperate man.
179,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
180,O! she doth teach the torches to burn bright.
181,Can one desire too much of a good thing?.
182,Rich gifts wax poor when givers prove unkind.
183,Rich gifts wax poor when givers prove unkind.
184,What's in a name? That which we call a rose by any other name would smell as sweet.
185,Not stepping o'er the bounds of modesty.
186,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
187,"I will speak daggers to her, but use none."
188,I like this place and willingly could waste my time in it.
189,Do you think I am easier to be played on than a pipe?
190,"A little more than kin, and less than kind."
191,True is it that we have seen better days.
192,For ever and a day.
193,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
194,This above all: to thine own self be true.
195,For ever and a day.
196,"When sorrows come, they come not single spies, but in battalions."
197,Off with his head!
198,I like this place and willingly could waste my time in it.
199,How bitter a thing it is to look into happiness through another man's eyes!
200,"The lady doth protest too much, methinks."
201,"An honest tale speeds best, being plainly told."
202,Tempt not a desperate man.
203,For ever and a day.
204,A horse! a horse! my kingdom for a horse!.
205,Wisely and slow; they stumble that run fast.
206,Off with his head!
207,The king's name is a tower of strength.
208,Tempt not a desperate man.
209,Now is the winter of our discontent.
210,"So wise so young, they say, do never live long."
211,"So wise so young, they say, do never live long."
212,For ever and a day.
213,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
214,Off with his head!
215,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
216,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
217,"An honest tale speeds best, being plainly told."
218,A horse! a horse! my kingdom for a horse!.
219,Not stepping o'er the bounds of modesty.
220,"There is nothing either good or bad, but thinking makes it so."
221,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
222,How bitter a thing it is to look into happiness through another man's eyes!
223,"The fool doth think he is wise, but the wise man knows himself to be a fool."
224,The king's name is a tower of strength.
225,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
226,"O Romeo, Romeo! wherefore art thou Romeo?."
227,"The fool doth think he is wise, but the wise man knows himself to be a fool."
228,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
229,"And it must follow, as the night the day, thou canst not then be false to any man."
230,"O Romeo, Romeo! wherefore art thou Romeo?."
231,Can one desire too much of a good thing?.
232,Wisely and slow; they stumble that run fast.
233,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
234,Rich gifts wax poor when givers prove unkind.
235,"I will speak daggers to her, but use none."
236,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
237,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
238,Off with his head!
239,Wisely and slow; they stumble that run fast.
240,How bitter a thing it is to look into happiness through another man's eyes!
241,"The world is grown so bad, that wrens make prey where eagles dare not perch."
242,Off with his head!
243,Rich gifts wax poor when givers prove unkind.
244,How bitter a thing it is to look into happiness through another man's eyes!
245,"O Romeo, Romeo! wherefore art thou Romeo?."
246,"There is nothing either good or bad, but thinking makes it so."
247,How bitter a thing it is to look into happiness through another man's eyes!
248,"The world is grown so bad, that wrens make prey where eagles dare not perch."
249,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
250,A horse! a horse! my kingdom for a horse!.
251,True is it that we have seen better days.
252,"O Romeo, Romeo! wherefore art thou Romeo?."
253,Now is the winter of our discontent.
254,"An honest tale speeds best, being plainly told."
255,"The fool doth think he is wise, but the wise man knows himself to be a fool."
256,O! she doth teach the torches to burn bright.
257,Not stepping o'er the bounds of modesty.
258,For ever and a day.
259,"It is the east, and Juliet is the sun."
260,The king's name is a tower of strength.
261,Do you think I am easier to be played on than a pipe?
262,"An honest tale speeds best, being plainly told."
263,Off with his head!
264,Now is the winter of our discontent.
265,Tempt not a desperate man.
266,I like this place and willingly could waste my time in it.
267,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
268,"A little more than kin, and less than kind."
269,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
270,How bitter a thing it is to look into happiness through another man's eyes!
271,"The fool doth think he is wise, but the wise man knows himself to be a fool."
272,"To be, or not to be: that is the question."
273,The king's name is a tower of strength.
274,"And it must follow, as the night the day, thou canst not then be false to any man."
275,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
276,A horse! a horse! my kingdom for a horse!.
277,How bitter a thing it is to look into happiness through another man's eyes!
