Left,Right
1497,118
155,104
1119,38
320,18
1190,19
1133,136
448,16
1009,95
881,126
1309,106
1500,8
711,132
1259,77
1563,77
456,125
1551,88
588,105
1257,127
480,71
526,115
219,29
685,84
1125,138
1119,63
306,65
853,87
1149,28
1612,19
912,87
379,19
669,52
479,11
269,105
801,127
1452,64
1649,89
702,123
929,38
1045,25
518,21
903,1
1257,57
1463,70
1454,111
177,114
1417,132
812,106
1111,107
347,16
1105,38
1252,5
1569,69
1034,117
783,31
489,27
1303,13
1351,124
649,87
502,112
1455,19
302,28
816,130
731,121
242,119
1610,51
1023,70
1133,124
907,63
289,49
782,112
942,60
213,99
1103,8
1526,44
1488,122
548,22
642,58
479,6
364,91
757,123
899,39
349,99
1139,36
1186,26
1094,47
236,120
1124,98
1076,34
741,72
431,75
1577,73
282,114
383,35
1300,117
311,24
1204,75
308,143
977,13
1464,142
452,94
606,33
1565,30
1590,115
678,67
244,54
817,96
932,96
765,53
527,20
1091,117
1007,111
1458,5
856,106
854,137
753,138
1442,144
1171,48
858,109
680,109
249,26
1330,4
1415,36
788,127
698,57
1300,47
505,126
934,33
1506,91
666,57
1634,9
1446,73
303,6
1613,119
473,72
272,106
545,111
274,88
1527,149
1330,144
530,46
1183,113
1485,122
727,149
1073,126
391,38
1627,126
279,114
600,23
460,62
554,19
761,128
1420,57
1282,135
633,129
574,24
915,137
209,21
1421,49
1540,72
1321,20
1607,2
651,110
927,74
500,83
513,27
1606,30
156,108
713,86
840,10
1039,70
986,77
1428,58
379,130
237,24
940,6
693,133
533,73
1372,65
828,68
794,140
1025,128
308,117
1264,30
579,129
267,42
434,121
642,69
1002,65
784,38
1449,73
297,119
1179,147
872,44
1498,31
753,88
1094,55
715,50
325,91
232,104
663,27
299,109
775,19
1293,22
1595,16
1420,70
1294,120
1221,26
209,20
1455,123
1402,103
677,134
489,20
389,141
276,138
228,45
432,138
545,143
632,15
249,137
173,68
1334,94
1332,45
1496,101
373,72
337,105
618,16
584,68
535,104
923,149
828,114
1522,39
1296,72
830,79
259,11
1316,108
1548,106
1627,30
537,121
296,115
1381,4
994,2
1389,25
1481,104
697,84
825,139
1525,51
1507,115
1550,17
740,5
288,144
198,108
1617,144
839,5
163,119
1253,64
1240,125
464,99
676,12
894,71
1628,146
1086,149
178,66
332,121
776,100
510,6
905,120
601,117
539,5
324,107
1072,2
1597,105
883,102
990,36
1621,51
1181,140
157,27
489,79
1341,134
1490,135
1519,132
196,50
1285,61
1506,28
977,47
1563,101
1210,143
1190,140
914,33
1470,113
650,72
901,33
1068,136
1223,21
646,140
1130,70
606,68
831,136
1219,24
422,47
392,137
1163,124
1174,120
1175,10
1164,95
785,50
359,99
858,128
776,22
246,135
394,145
1160,81
1109,34
206,105
1425,134
985,121
710,53
1160,78
1140,127
406,118
1340,36
847,43
1005,115
929,12
631,111
1166,108
858,105
599,146
553,83
974,33
251,73
1054,61
455,42
1114,108
735,40
1068,114
668,91
595,35
914,1
416,149
599,19
1464,14
1248,23
578,129
1314,2
1562,143
681,89
747,106
552,144
1386,126
1227,64
660,130
268,46
1361,145
280,61
1105,73
1547,16
745,71
925,97
1106,127
1498,130
718,54
288,55
1052,91
374,2
1121,64
1466,143
373,4
1426,129
1245,4
1464,73
424,27
843,44
1345,29
497,144
272,20
235,39
1611,142
728,113
259,136
969,41
840,19
841,132
1140,50
1495,92
1155,76
288,136
989,24
1446,101
828,73
871,34
1216,90
1428,29
695,135
1316,131
756,67
1572,125
1373,37
317,6
415,67
1101,19
1456,18
1154,33
323,85
1270,8
1266,88
1406,81
609,27
1614,106
1412,21
413,18
1529,116
983,147
264,98
1065,100
485,64
310,63
1433,120
1284,25
486,96
539,18
470,52
1509,5
1583,55
1136,78
741,21
183,115
1439,51
1002,34
938,58
542,49
1143,147
1455,134
1449,99
923,98
1101,128
1233,97
1494,18
369,42
1432,24
1552,11
1564,116
295,17
898,116
778,80
749,124
1514,129
1017,74
495,123
1268,146
955,28
848,22
1329,74
698,26
800,19
519,94
807,29
1424,17
610,83
1581,43
243,45
796,31
1168,25
506,44
1448,20
594,100
576,43
1374,127
1614,87
1340,111
1471,5
1438,116
755,90
923,98
1351,72
552,149
1313,145
277,6
403,110
729,112
1499,116
185,51
525,50
1237,71
993,7
457,53
782,46
401,43
880,140
329,98
1050,9
391,148
738,51
961,121
332,126
1432,111
835,1
854,2
537,146
570,123
346,25
310,135
1341,21
1483,78
713,70
952,24
824,120
219,135
349,10
164,26
332,94
1587,116
1622,30
180,25
1374,110
335,123
580,96
791,93
1274,62
672,143
531,89
626,65
389,121
277,125
716,82
764,19
1005,70
1598,58
731,89
1267,26
758,17
916,130
239,102
1301,86
1004,41
1531,35
1618,145
1563,28
836,14
180,60
767,106
861,85
700,38
567,124
238,59
1248,8
1062,26
501,23
1452,88
653,145
1300,33
926,63
226,93
1377,94
470,62
548,123
199,124
1605,109
213,132
1594,60
379,22
299,65
402,124
456,105
1598,145
714,28
1527,34
503,13
268,37
979,82
1476,38
466,111
1201,25
651,99
322,101
669,37
1312,96
1265,41
1297,22
245,34
758,8
1405,47
1011,109
1618,88
522,119
1518,54
538,80
464,66
297,133
604,116
1189,95
286,86
1089,34
1197,35
380,118
191,129
1480,54
740,104
1466,65
867,137
797,61
1339,2
429,109
283,45
347,131
1642,131
1012,54
1331,99
965,60
1608,30
161,34
677,133
1620,104
1198,87
1432,29
828,55
1649,64
1023,90
896,66
1120,39
576,120
849,73
1316,87
972,112
835,104
828,15
163,77
892,26
1114,118
824,117
906,130
974,6
837,130
1638,46
636,129
287,121
456,95
1210,107
375,3
1370,120
1458,97
897,140
329,102
395,24
800,1
158,141
217,56
1155,146
408,107
1522,46
933,83
1379,103
1359,8
763,148
855,110
1360,86
1384,45
955,117
863,124
669,103
1476,79
329,142
383,7
347,1
298,3
920,49
1616,11
233,51
802,25
936,66
347,26
1297,141
1507,64
820,39
929,141
994,13
713,46
447,35
1080,148
191,87
1517,149
1099,101
276,65
615,3
517,53
1207,133
1349,50
340,128
810,118
415,19
281,125
364,120
1516,105
934,145
893,84
212,142
192,112
1273,4
954,81
619,84
649,58
1077,96
865,75
321,24
258,29
1007,56
1076,11
1325,3
1018,139
1230,139
1216,141
714,7
519,123
489,137
178,85
1591,97
436,43
1527,33
296,58
210,119
1317,119
412,128
1195,43
892,33
1091,100
