Left,Right
25,579
13,758
19,1084
49,319
34,947
45,1475
143,748
99,614
126,1080
20,1307
1,526
47,873
86,468
83,1223
123,1122
129,806
28,841
106,985
40,1344
44,472
64,852
56,487
80,363
30,382
109,1403
14,343
105,763
146,676
149,729
31,1262
117,385
46,1215
97,445
68,414
3,396
128,1342
59,1459
66,864
124,554
63,1346
84,436
69,609
105,539
120,1283
4,1378
54,817
15,1485
119,361
75,828
49,1275
14,667
142,900
13,880
132,1649
41,1021
32,359
17,1033
119,663
16,852
64,718
56,210
32,1393
111,1473
31,510
91,1180
88,1189
97,675
11,476
122,796
41,1207
56,203
139,1414
52,873
132,1587
123,416
68,626
111,1453
62,611
120,294
40,1493
96,500
79,797
38,282
88,1545
120,645
21,1018
87,1255
40,1550
71,868
52,1123
72,919
95,469
61,685
16,561
64,451
31,322
148,1496
32,1471
121,1055
128,1296
33,751
73,1391
147,1101
40,954
36,1140
84,1115
125,261
59,1281
99,447
43,1216
83,1569
65,1260
16,1005
1,1458
148,1302
53,606
103,1039
28,314
65,1076
6,562
112,421
73,1488
26,185
99,753
13,1516
47,1028
137,550
108,1226
45,151
2,160
6,428
122,222
113,1609
99,857
128,312
120,1205
2,1039
42,467
22,958
117,1197
62,1043
102,1574
6,1454
93,725
3,248
118,643
96,852
134,1191
96,922
19,936
147,1303
20,1274
69,1076
97,1025
135,1219
112,1474
115,1181
71,437
124,613
11,907
69,949
98,921
6,1033
124,878
145,379
35,1287
113,899
6,1045
134,795
145,1540
110,1000
30,1312
143,1434
6,1100
25,241
131,1454
29,1589
97,1527
118,906
81,533
61,1626
130,1252
23,760
100,1576
93,407
104,684
33,803
135,725
45,1147
108,605
57,495
118,339
130,1462
21,1122
51,514
71,785
124,595
107,895
113,570
130,774
27,1205
104,505
140,329
72,601
12,904
43,719
105,683
60,1191
51,1084
70,1059
7,463
19,491
32,285
109,1032
59,309
70,1371
123,1127
86,699
64,756
2,460
56,1461
66,1649
139,1614
106,715
132,1590
125,1209
85,1117
144,195
121,1264
88,237
123,1417
10,1415
31,1236
99,1203
3,636
81,248
90,493
93,1102
72,1499
133,744
113,1390
132,586
56,1022
28,1339
82,733
140,558
11,1420
90,1198
143,1504
105,1348
140,984
59,542
102,1303
131,435
130,971
54,531
105,1568
59,717
21,184
2,1456
96,1371
148,1299
38,210
3,608
146,1011
122,1350
90,1632
38,1198
100,523
56,969
104,1527
57,1541
27,1442
67,805
123,1288
29,336
125,1180
50,272
144,1074
103,1053
117,1098
107,924
101,1400
94,931
27,1626
127,797
52,555
86,1444
75,416
23,696
44,186
58,899
16,217
63,452
114,1261
100,964
53,416
48,1445
10,933
85,286
43,1292
47,404
91,1337
136,347
111,532
115,864
91,548
18,489
91,759
98,662
119,770
112,539
117,1188
7,634
33,1022
34,369
108,446
58,1254
61,447
57,1373
112,325
104,1398
127,1259
111,1418
41,633
146,629
59,1422
124,1054
51,1358
60,1297
62,1539
86,1161
119,694
148,923
116,283
41,365
144,1616
138,543
26,1327
48,390
6,1352
51,415
108,436
2,432
60,1145
39,1422
39,1072
114,1096
125,424
124,1253
11,766
2,336
73,955
98,1104
149,1283
29,975
71,376
34,702
88,743
83,434
138,1243
147,452
99,1314
77,1488
37,197
53,531
23,198
72,1155
66,1054
114,1475
116,1307
106,1161
88,503
77,553
86,779
4,841
52,580
114,620
77,906
122,474
67,1474
120,166
17,892
138,388
93,804
75,272
87,427
69,1043
59,1048
32,558
75,1516
19,657
136,592
11,161
64,1555
73,1234
131,1602
60,165
9,1450
19,818
16,402
60,1618
30,659
42,1522
59,296
48,639
135,532
134,1435
122,501
63,534
50,1203
21,920
77,1242
60,200
47,895
132,1459
18,1148
142,1574
98,227
5,175
40,786
125,361
105,1458
37,1151
98,485
35,978
134,420
134,293
87,178
103,1365
18,1094
122,511
117,603
7,1299
30,1244
6,1053
51,1624
49,1226
144,1245
100,249
111,400
128,181
16,1044
80,204
143,304
16,552
25,860
68,1646
7,1035
77,636
67,1139
14,479
89,502
26,503
12,383
8,822
58,1380
38,362
35,276
66,465
13,1478
33,1445
58,1439
51,478
118,1034
14,221
96,1595
9,1386
49,694
34,1450
84,851
137,1481
10,1004
76,496
123,652
15,939
145,1201
95,939
55,418
50,874
6,332
11,1255
22,1167
36,797
95,492
120,1049
63,1095
13,842
24,1108
81,805
119,1401
44,1169
101,1371
114,1029
141,1217
136,581
17,1384
123,686
90,1035
135,800
102,1172
140,384
85,723
93,873
8,184
116,326
32,577
41,412
47,334
60,1425
16,1460
136,660
96,1148
25,409
28,1491
135,346
17,1551
49,856
117,308
122,430
88,1610
113,498
129,862
45,1518
137,528
116,383
144,1295
24,1117
66,1032
20,1203
42,1104
33,920
59,407
36,1442
90,1468
34,990
98,592
59,1145
57,1099
93,861
139,358
110,1549
75,717
121,533
54,1645
35,1100
87,321
93,858
66,760
18,635
13,1428
43,304
69,1243
145,1080
51,1416
8,1070
110,1359
4,1051
80,1261
104,868
113,301
31,1577
48,271
12,756
137,565
118,1194
84,1549
84,1162
70,253
15,1387
100,1598
21,1604
44,923
77,1159
141,338
126,1536
85,692
145,1569
80,692
55,1043
61,720
105,933
91,1157
64,853
39,1559
123,1301
63,1364
126,1182
120,1012
137,1046
143,1521
125,1417
56,1252
137,1194
136,890
99,962
61,997
34,926
24,1351
78,1244
22,1443
75,570
76,631
95,845
141,1245
123,1425
24,1459
112,1595
7,418
129,212
26,155
145,477
63,687
75,204
126,1602
21,1173
99,953
125,978
53,1069
44,1539
54,1184
65,592
146,1208
24,945
125,1089
88,519
117,1488
43,1020
18,1583
94,308
9,1202
38,443
83,259
29,1380
143,361
73,669
141,173
52,1202
44,412
38,434
148,1118
11,1250
73,390
110,610
49,1023
32,1535
57,947
122,1066
67,1407
88,1577
148,1312
114,1158
85,996
76,788
57,1101
133,1198
124,417
31,1605
12,782
66,874
68,745
19,832
46,928
21,670
126,1599
99,180
4,589
69,1441
20,1455
147,761
124,891
22,507
101,434
91,609
5,480
146,1376
40,1361
26,1300
119,1109
68,1356
37,1169
2,1563
81,612
103,248
119,1080
106,673
25,1091
124,741
23,465
132,349
133,1138
87,186
83,1602
96,1187
85,635
145,764
133,361
142,1420
80,963
7,1527
78,1286
11,351
84,751
98,1560
42,1213
128,631
121,1127
76,369
85,1421
89,1607
54,1299
98,738
28,268
55,1041
67,1431
27,249
67,546
106,1505
75,1309
54,1162
86,1241
120,1409
88,498
122,851
95,624
135,179
7,1315
15,971
101,656
135,658
19,1182
15,320
64,600
69,1288
75,384
43,469
28,1536
66,1545
63,988
26,786
88,557
105,727
139,1177
39,590
16,1305
88,1338
49,1033
3,1521
146,414
107,300
107,644
49,737
36,1255
46,922
119,1510
96,1175
57,648
28,783
9,1374
141,1609
88,350
58,821
149,902
7,1112
95,837
65,923
71,1456
2,168
73,1000
71,404
63,758
12,516
37,762
54,311
13,775
98,1030
72,420
69,381
61,1645
80,980
17,1077
8,1291
140,533
7,1474
9,1154
30,182
145,308
86,773
114,836
35,464
95,1569
8,1353
71,1409
46,323
68,769
105,1367
146,1006
33,423
56,650
32,914
76,1454
124,1625
40,172
103,1324
43,1469
101,1588
74,1144
101,785
87,1384
15,621
118,1310
135,345
132,943
122,528
88,261
45,306
20,1163
30,1487
110,995
125,1030
118,718
60,559
9,573
11,1156
44,860
101,1349
74,1488
135,934
107,1461
77,1402
83,639
108,1128
94,621
3,1481
134,230
53,836
24,1251
37,1321
67,1108
124,578
31,1467
144,1264
38,1146
107,1532
134,400
139,1361
95,349
10,1060
85,1376
10,915
89,1291
41,927
103,813
14,677
41,751
36,738
105,1605
10,271
82,1120
127,581
105,797
31,1463
148,1493
114,1486
31,1572
92,567
35,1165
23,984
29,188
68,1061
144,730
139,493
99,606
8,1110
92,193
41,340
49,808
98,1352
39,383
44,817
103,1432
115,1507
40,362
129,1431
73,430
125,939
25,459
71,151
133,1387
24,1637
53,633
87,357
10,1138
74,357
117,1055
36,336
129,1264
1,543
98,482
131,444
43,794
43,928
25,1186
112,959
128,1261
60,1553
55,283
77,1045
34,1421
51,669
22,328
57,1618
112,1020
80,303
22,1041
119,468
80,1194
125,754
101,649
8,1014
126,430
42,734
36,558
125,1625
123,862
83,1529
29,1421
47,396
46,242
14,794
104,1647
143,1157
143,725
8,320
71,1507
106,416
149,1149
127,1347
85,1524
103,1500
9,1645
119,447
35,964
80,681
133,1106
117,608
148,432
121,1051
22,1316
101,1155
127,1472
76,1270
140,839
100,1535
109,1056
148,820
39,1069
30,1023
114,816
95,933
31,1647
32,412
84,1410
89,883
15,651
137,1048
141,1192
37,1631
17,222
120,1433
128,196
93,885
142,1621
107,1623
133,706
8,1514
98,1426
137,422
23,1617
35,685
79,1486
144,243
129,625
70,429
72,1277
90,276
43,440
29,1032
76,489
33,659
145,1590
29,536
44,653
20,1408
105,1371
125,268
105,1261
15,1079
5,1165
104,991
124,547
142,529
8,1321
91,497
127,1612
55,563
6,581
104,517
143,933
36,169
132,1563
76,1186
61,1360
124,1507
76,1199
122,1400
96,1183
103,1008
13,194
78,299
1,1157
118,970
12,1462
78,388
10,706
75,1005
135,736
18,1091
57,264
96,1526
136,295
52,1209
