Left,Right
126,289
30,1628
63,434
100,960
5,1398
109,665
79,1384
31,1189
29,1094
30,537
11,515
83,975
146,943
35,447
95,407
12,1596
47,564
145,221
141,943
97,1078
48,320
148,1107
106,439
139,1591
12,155
14,980
14,258
6,1012
114,415
94,1061
123,1460
85,332
114,337
56,1207
136,1546
17,1326
93,838
25,1112
46,531
135,1639
40,1475
68,790
34,570
59,551
15,914
23,1299
37,1634
61,1309
57,516
128,1002
84,1205
107,868
14,1117
31,1310
58,244
118,1199
148,1429
22,1082
85,318
46,339
110,1141
118,466
140,539
20,1330
110,477
107,1585
144,1139
138,517
123,183
88,1260
84,1329
134,779
38,900
43,1373
50,1112
37,1110
29,360
47,586
71,1329
76,830
14,627
10,1599
16,449
127,1270
57,993
37,291
24,1575
3,561
36,505
145,158
31,764
32,1499
43,1321
19,623
143,299
135,1150
90,1514
34,1029
124,376
148,892
33,438
27,1582
127,153
39,314
101,629
100,817
20,1254
142,1359
37,597
114,781
108,671
131,1119
14,378
135,1017
36,1016
78,893
129,435
59,1339
95,1183
105,767
71,1390
104,1059
104,1511
33,1198
82,384
132,1545
27,740
117,1115
116,1599
14,556
145,223
92,1213
139,720
90,1306
136,798
61,327
12,1071
128,200
26,1269
43,1265
103,556
93,877
105,1510
35,1321
79,645
121,243
107,244
108,1439
141,452
104,815
122,215
110,164
130,1098
72,481
145,836
31,509
44,519
70,1321
137,576
77,648
20,1191
87,1136
72,1074
111,786
136,584
52,940
88,1291
120,393
96,307
62,908
4,1408
103,705
96,723
142,1015
111,317
93,1119
47,153
75,768
108,1127
115,359
111,1485
57,1010
128,343
16,1376
54,1274
4,208
39,1007
133,565
37,422
114,799
64,1041
74,901
52,353
98,1542
49,977
33,1357
41,836
90,734
99,1628
98,1646
54,1022
38,228
131,422
101,675
94,930
7,875
88,1303
79,714
127,1351
127,1144
65,485
59,762
132,495
128,1457
26,637
91,830
57,942
88,1289
62,1548
9,654
112,1587
88,665
107,770
93,1137
113,973
15,892
120,554
33,180
76,1296
21,159
128,375
117,803
35,1044
61,192
49,1355
27,1044
50,431
148,984
9,318
135,1557
42,247
39,1100
91,426
4,186
108,1012
44,1274
126,1217
34,1416
42,1518
8,872
105,1346
57,274
109,302
117,452
26,872
77,1043
115,491
62,1609
18,254
102,1153
139,649
11,360
68,919
33,1532
144,675
121,873
110,610
56,840
94,1412
1,922
3,1583
104,1549
80,354
70,799
125,314
99,959
98,1368
127,865
5,1403
77,712
119,820
96,1486
100,592
1,545
99,183
42,1491
104,741
85,1567
88,937
98,1476
12,1649
102,492
146,1077
72,723
47,1099
46,626
17,1491
149,993
92,1610
9,1043
57,1468
81,214
130,768
68,1459
113,1579
112,1174
46,798
15,1438
31,565
114,567
79,685
147,1540
145,550
21,1135
93,1544
107,403
140,1552
17,1428
11,1132
76,1439
110,1316
76,1090
143,605
82,939
128,1531
107,535
114,1576
67,1476
38,1314
30,1555
118,1617
141,367
97,1326
72,1062
58,779
5,218
17,1489
40,1048
117,1469
40,1630
25,834
51,542
98,250
9,746
100,916
67,209
44,203
62,1002
99,784
66,1290
22,845
102,906
35,1107
79,788
40,778
25,886
92,429
66,473
34,568
96,825
93,1363
39,1321
18,1390
35,828
53,1050
103,384
132,180
77,850
144,330
144,968
60,1511
138,912
87,651
62,656
6,473
136,1191
89,1009
